iter	Logloss
0	0.5234053085
1	0.4338067541
2	0.3817459534
3	0.3505512053
4	0.329463931
5	0.317571472
6	0.3085657856
7	0.3011581526
8	0.2960332328
9	0.2908206857
10	0.2885277429
11	0.2860693409
12	0.2840223551
13	0.2826241859
14	0.2808118916
15	0.2799871903
16	0.278870992
17	0.2783867636
18	0.2774030645
19	0.2767393168
20	0.2762009059
21	0.2753650442
22	0.2751869048
23	0.2747875556
24	0.2745177782
25	0.2742137945
26	0.2738043447
27	0.2733995982
28	0.2729414461
29	0.2726950267
30	0.2717889269
31	0.2714344912
32	0.2709620359
33	0.2705013424
34	0.2703533112
35	0.2699323528
36	0.2694995935
37	0.2692816458
38	0.2689200499
39	0.2685632203
40	0.2682841208
41	0.2680504628
42	0.2678753504
43	0.2674565566
44	0.2669679942
45	0.2667390614
46	0.2663704796
47	0.2663188104
48	0.2659518061
49	0.2658748108
50	0.2656247759
51	0.2653876509
52	0.2651867585
53	0.2650369782
54	0.2648459945
55	0.2645028178
56	0.2642253328
57	0.2639235561
58	0.2635652927
59	0.2634080383
60	0.2631263777
61	0.262903062
62	0.2626404407
63	0.2623321251
64	0.2621156205
65	0.2618672874
66	0.2615662094
67	0.2614412926
68	0.2611824806
69	0.2609780501
70	0.2606890682
71	0.2603853224
72	0.2601956257
73	0.2600314753
74	0.2598956776
75	0.2598779754
76	0.2597507007
77	0.2596086146
78	0.2595702588
79	0.2595259313
80	0.2593324395
81	0.2592046673
82	0.2589429432
83	0.2587515084
84	0.258704682
85	0.2584767045
86	0.258252956
87	0.2579050516
88	0.2578055627
89	0.2574374455
90	0.2573576025
91	0.25725974
92	0.2570937041
93	0.2569203714
94	0.2566649751
95	0.2565065519
96	0.2562165422
97	0.2560226117
98	0.2559104269
99	0.2558584644
