iter	Passed	Remaining
0	7	769
1	14	694
2	21	696
3	27	666
4	35	667
5	47	750
6	55	738
7	60	698
8	67	680
9	72	653
10	77	629
11	83	613
12	88	595
13	94	578
14	99	564
15	104	550
16	110	537
17	115	526
18	120	514
19	125	503
20	131	493
21	136	483
22	141	474
23	147	465
24	152	456
25	157	447
26	162	438
27	167	429
28	172	421
29	177	413
30	182	406
31	187	398
32	192	391
33	198	385
34	203	377
35	208	370
36	213	363
37	218	357
38	224	350
39	229	343
40	234	337
41	239	331
42	244	324
43	250	318
44	255	312
45	260	305
46	265	299
47	270	292
48	275	286
49	280	280
50	286	275
51	291	269
52	297	263
53	301	257
54	306	251
55	312	245
56	317	239
57	322	233
58	328	228
59	334	223
60	341	218
61	348	213
62	354	208
63	360	202
64	366	197
65	371	191
66	376	185
67	381	179
68	387	173
69	392	168
70	397	162
71	402	156
72	407	150
73	412	145
74	417	139
75	422	133
76	427	127
77	432	122
78	437	116
79	443	110
80	449	105
81	455	100
82	460	94
83	465	88
84	470	83
85	475	77
86	481	71
87	486	66
88	491	60
89	496	55
90	501	49
91	506	44
92	512	38
93	517	33
94	522	27
95	527	21
96	532	16
97	537	10
98	542	5
99	547	0
